p_id,Gender,age,vintage (days),has_passed_logical_ability,has_passed_reading_comprehension,has_passed_general_awareness,has_passed_attention_to_detail,has_passed_pattern_recog,Life Time Earnings in Rs.,qualifiers_rejects,qualifiers_approved,qualifiers_re_attempts,voice_rejects,voice_approved,voice_re_attempts,sd_rejects,sd_approved,sd_re_attempts,ts_rejects,ts_approved,ts_re_attempts,other_data_rejects,other_data_approved,other_data_re_attempts,lives,Q Score Qualifiers,Q Score voice,Q Score Sd,Q Score ts,Q score other data,P Score Qualifiers,P Score voice,P Score Sd,P Score ts,P score other data,Q_logical_ability,Q_reading_comprehension,Q_general_awareness,Q_attention_to_detail,Q_pattern_recog,Average Q Score
53921,2,41,109,FALSE,FALSE,FALSE,FALSE,FALSE,6813.95,16,30,42,0,499,3,0,192,31,2,693,33,20,1867,283,5,-0.159090909,1.982071713,1.582959641,1.853021978,1.571889401,0,99.55179283,89.57399103,96.32554945,89.29723502,0,0,0,0,0,37.47485683
54004,2,35,109,FALSE,FALSE,FALSE,FALSE,FALSE,1668.7,16,17,59,0,0,0,0,0,0,0,0,0,17,715,163,5,-0.619565217,#DIV/0!,#DIV/0!,#DIV/0!,1.377653631,0,#DIV/0!,#DIV/0!,#DIV/0!,84.44134078,0,0,0,0,0,#DIV/0!
53923,2,21,109,TRUE,TRUE,TRUE,FALSE,TRUE,1358.15,5,21,19,0,0,0,0,131,30,0,0,0,6,481,109,5,0.288888889,#DIV/0!,1.440993789,#DIV/0!,1.411073826,28.88888889,#DIV/0!,86.02484472,#DIV/0!,85.27684564,100,100,100,0,100,#DIV/0!
53930,2,27,109,FALSE,FALSE,FALSE,FALSE,FALSE,1354.75,19,20,40,0,0,0,3,108,68,0,0,0,26,682,182,5,-0.481012658,#DIV/0!,0.793296089,#DIV/0!,1.269662921,0,#DIV/0!,64.66480447,#DIV/0!,81.74157303,0,0,0,0,0,#DIV/0!
53898,2,24,109,FALSE,FALSE,TRUE,TRUE,TRUE,762.25,12,28,20,1,0,0,0,5,1,2,102,2,23,254,46,5,0.2,-2,1.5,1.867924528,1.287925697,20,0,87.5,96.69811321,82.19814241,0,0,100,100,100,58.63962556
53929,1,25,109,FALSE,FALSE,FALSE,FALSE,FALSE,515.9,15,8,14,1,0,0,0,226,47,0,0,0,21,244,67,5,-0.756756757,-2,1.483516484,#DIV/0!,1.141566265,0,0,87.08791209,#DIV/0!,78.53915663,0,0,0,0,0,#DIV/0!
54029,2,29,108,TRUE,TRUE,FALSE,TRUE,TRUE,8667.06,14,39,52,1,0,0,0,43,7,0,823,19,19,2697,645,5,-0.019047619,-2,1.58,1.932304038,1.401666171,0,0,89.5,98.30760095,85.04165427,100,100,0,100,100,67.28492552
54057,1,20,108,FALSE,FALSE,FALSE,FALSE,FALSE,5692.5,6,16,18,0,0,1,1,66,6,2,1123,77,9,1260,123,5,0.05,-1,1.698630137,1.801164725,1.709051724,5,0,92.46575342,95.02911814,92.7262931,0,0,0,0,0,28.52211647
54075,1,20,108,FALSE,FALSE,FALSE,FALSE,FALSE,2603.05,13,11,46,0,0,5,0,1178,138,0,0,0,14,1243,214,5,-0.714285714,-1,1.685410334,#DIV/0!,1.525492862,0,0,92.13525836,#DIV/0!,88.13732155,0,0,0,0,0,#DIV/0!
54054,1,18,108,FALSE,FALSE,TRUE,TRUE,TRUE,412.89,9,44,42,1,2,5,0,0,0,0,0,0,9,164,68,5,0.294736842,-0.375,#DIV/0!,#DIV/0!,1.004149378,29.47368421,0,#DIV/0!,#DIV/0!,75.10373444,0,0,100,100,100,#DIV/0!
54203,1,21,107,TRUE,TRUE,TRUE,TRUE,FALSE,363.9,6,19,6,1,0,0,0,0,0,0,0,0,6,135,28,5,0.64516129,-2,#DIV/0!,#DIV/0!,1.360946746,57.25806452,0,#DIV/0!,#DIV/0!,84.02366864,100,100,100,100,0,#DIV/0!
54167,1,19,107,TRUE,TRUE,FALSE,TRUE,TRUE,88.65,11,24,51,0,1,1,1,6,2,0,0,0,14,54,57,2,-0.290697674,0.5,0.888888889,#DIV/0!,0.184,0,50,69.44444444,#DIV/0!,18.4,100,100,0,100,100,#DIV/0!
54156,1,21,107,TRUE,TRUE,TRUE,TRUE,TRUE,85.15,3,22,14,0,12,1,0,0,0,0,0,0,5,41,14,5,0.615384615,1.769230769,#DIV/0!,#DIV/0!,0.966666667,55.76923077,94.23076923,#DIV/0!,#DIV/0!,73.33333333,100,100,100,100,100,#DIV/0!
54406,1,31,106,FALSE,FALSE,TRUE,TRUE,TRUE,8194.43,8,25,58,2,1,3,0,0,0,1,1242,147,11,2142,446,5,-0.263736264,-0.833333333,#DIV/0!,1.679856115,1.468257022,0,0,#DIV/0!,91.99640288,86.70642555,0,0,100,100,100,#DIV/0!
54351,1,40,106,FALSE,FALSE,FALSE,FALSE,TRUE,5876.05,19,16,23,0,0,5,0,0,0,9,1182,58,28,1288,98,5,-0.5,-1,#DIV/0!,1.831865492,1.712871287,0,0,#DIV/0!,95.79663731,92.82178218,0,0,0,0,100,#DIV/0!
54431,2,27,106,TRUE,TRUE,TRUE,TRUE,TRUE,2224.35,10,52,17,1,34,3,0,0,0,0,0,0,15,1014,230,5,0.848101266,1.657894737,#DIV/0!,#DIV/0!,1.404289118,67.40506329,91.44736842,#DIV/0!,#DIV/0!,85.10722796,100,100,100,100,100,#DIV/0!
54349,1,26,106,TRUE,TRUE,TRUE,TRUE,TRUE,1896.75,15,207,75,1,2,1,0,0,0,1,174,8,17,525,119,5,1.04040404,0.25,#DIV/0!,1.846994536,1.357034796,76.01010101,25,#DIV/0!,96.17486339,83.92586989,100,100,100,100,100,#DIV/0!
54410,1,20,106,TRUE,TRUE,TRUE,TRUE,FALSE,27.5,0,9,2,0,0,0,0,0,0,0,0,0,1,10,5,3,1.454545455,#DIV/0!,#DIV/0!,#DIV/0!,0.8125,86.36363636,#DIV/0!,#DIV/0!,#DIV/0!,65.625,100,100,100,100,0,#DIV/0!
54566,2,25,105,FALSE,FALSE,FALSE,FALSE,FALSE,603.45,24,11,47,1,0,0,0,0,0,0,0,0,29,308,163,5,-0.890243902,-2,#DIV/0!,#DIV/0!,0.79,0,0,#DIV/0!,#DIV/0!,64.5,0,0,0,0,0,#DIV/0!
54508,1,20,105,TRUE,TRUE,TRUE,TRUE,TRUE,552.55,4,132,36,0,1,1,0,0,0,0,0,0,5,179,53,5,1.279069767,0.5,#DIV/0!,#DIV/0!,1.244725738,81.97674419,50,#DIV/0!,#DIV/0!,81.11814346,100,100,100,100,100,#DIV/0!
54800,2,20,104,FALSE,FALSE,TRUE,TRUE,TRUE,5582.19,16,52,50,0,69,3,0,0,0,0,693,27,18,1720,233,5,0.186440678,1.875,#DIV/0!,1.8875,1.608828006,18.6440678,96.875,#DIV/0!,97.1875,90.22070015,0,0,100,100,100,#DIV/0!
